meter_id,owner_id,wallet,kwh,window_epoch,mint_sig,slot,confirmed,grid_balance,delivered_onchain
45b9d8f1-fe99-4e47-8b98-b79e0322fbf1,6fba4e81-94fd-46b9-b50f-a73442a9a948,DPEkHWD53FGAX2zhWs7NBg6yc48FRWrqjvgup51Hg8jc,5.0,1783693800,4hjF5Sh5gPHwNw7TToKmrFSpG1fKDBkszLNZ9RoToLXAXa74CuL87jti3cw7J9FoC2L8NywwkogpTTE2hkDEPm2Y,572,True,5.0,True
98747460-1da7-4f5e-a7ac-a6f8b0fac8b2,4855af6d-b34f-41e0-a22f-a87743c4fabd,E3RMDsFMQHLMQ4kGf6xuHm5DJc8dLndXGt8DU8uTmGxe,5.0,1783693800,4X74mbWgV5wKgAeugdVC64sWz34N3RBHrfrqyZJ7RgCdrUhpUxhWQbR23hapk1U7gwWmSzqY44shbGq6Ebti69S4,572,True,5.0,True
f3faa9e7-f4bc-42e1-884b-d82e1aaba0a2,fb5d3edf-2bfe-4e44-a731-21eb4013a832,AxrgBLB8V4MRHfp2HRgW8Py7TrGBeHaarceMr7dsUMmg,5.0,1783693800,Xqx95s64CRFrvJAHDrzjsobtSaQ4oupJiy4hm12XuR8PYmvQuzpu8VnSpAgp2kcvCpAQBAVojZsU8gYGjX4AzS7,572,True,5.0,True
c40c763f-4dd9-4330-8834-44428198582e,edf97cd5-b3c7-4d69-aed6-336b475645c8,AmJCfUtr91LYYMgWkiKikUREtwEfphyJJhFoch2Yo7p2,5.0,1783693800,3iYb8RL2gwGdhEZo7zkRU9RTBeHSJedW5dYSLW22WRYw2BXLwxkTHdVpXbZvj8csXgaAc9G2TpCRg5m9iadzFJWS,572,True,5.0,True
6584ef4b-ba63-4cc5-b0dd-d7282445667e,f69c302f-f080-4b7c-95ed-8d0d4b9c574f,ChViVe4JUynzb8BcWTD2kcQZrZhMyj8uY8UMCQauZ3rZ,5.0,1783693800,QwTydsjzQvwAxMkhFg5siZbHxEYFhHoxrGXafptZL83EQJ3ZCCcemWrnjxFoPSjFtGCmS2VKPxNEeS9Ue3ugeZy,572,True,5.0,True
0dfb630b-79e8-4c2e-9f99-3134b8877886,6bfaa738-429b-4723-95d4-c4ca29dee466,4JjmGDbtrDqxG77KZqB8eUNSwzpE6hMujWCKmH2JdAMG,5.0,1783693800,3D6zZbtbr6A1qv6ngJwptS2QUmwt4xLn6XY4YWdjrDfh1xS2gztBQcAqu8Ddo9ZCieYuuDxLsPA6JY2VTdokRzpn,572,True,5.0,True
df146e83-0c2f-4c3f-a383-681386885572,ebb7448c-3885-46e3-9cdc-5f9dd3cf4c08,9orgMJxZ9gm2EAnmwUFgCjtRyJNDzp3BTpJtwrkahqUo,5.0,1783693800,2UUBuujA2dE35qCNAgFwfHiphj6oiww7AgNWQPRZ4KpffU66wcFrYPxMiPtrfVzrsTFckJHJsgHN1u8Rxdpyf5UE,572,True,5.0,True
e9c980b9-4a1a-4edb-8a3e-af6776c115d0,0df798bc-0eb8-4705-832a-69fbf2d3570f,6ka1arf2CiwuSiQfMV4V9nVspijiaVGkqJPzAdmPsNn4,5.0,1783693800,2TwZWB6gSXUt1ED3q4bAbZ7YABrWoRk432X2LoS6uMyV4oQaU3SKNKTDbikkBDgdsmRZFoUbCLu9LAVnfLCZjnoM,572,True,5.0,True
4b238ea4-b30e-4906-8b4a-cc6fdd7fb43a,74f7d5c8-11c6-431d-9429-d1445ac6d8dc,Fb1eYwnMbgpKbptG1hoPidzk6TVV8Jh8Bu3PBKGCkMqW,5.0,1783693800,5jmmwFfwxhQr5KEeDuXJhoxX8pUk8Kmz3GjDSvurp7iAXxgRzWLQ4ofDqxDrVrwg513gXEXG4oPNfNa2QNCWeyDv,572,True,5.0,True
0f3dafa3-7404-4957-91e3-4dea280f4e47,bf1d2ea7-eadf-4c21-892d-c03a21c522fc,33Gxa3w5msDGkCVCDVuw2ZKJ4qJEB3t5cBi5skfHRZxu,5.0,1783693800,9EYsdkLWYBdn7fdCk9ow9Q9xqTh4QhE6Da8b73WFB9eRcPrWtxVT7u3D7ijJU68y5ma4TXPKCedwdGyfSzLwpDm,572,True,5.0,True
